Simulation state at cycle:     200000
##############################################################################                                           

Number-of-molecules: 1002  

Box-size(s):    34.878965   52.773883

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.7915545860E+000   0.1276318506E+001
Box 2    0.3582483157E+001   0.1194249057E+002

Rotation per molecule type
Box 1    0.4707516445E+002   0.9000000000E+002
Box 2    0.1800000000E+003   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.7464052277E+003
Box 2   0.7711368131E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 471   
  3        3.9059367171       28.9553129369       15.0334181671
  2        3.1813141581       29.0428974397       15.9350007212
  2        4.8973969650       10.7793537850       15.7964157787
  3        4.8286379237       10.9243172378       14.6475651393
  2        4.7598788825       11.0692806906       13.4987145000
  2        1.0966071969       21.1676613042       14.9688740309
  3        0.3953653876       20.4200436939       14.4258014448
  2       -0.3058764218       19.6724260837       13.8827288587
  2        8.6671439423        1.6380005684       23.5458030178
  3        8.4959820822        2.5189997635       24.2807479381
  2        8.3248202221        3.3999989585       25.0156928584
  2       25.2488626747        1.5608271025        5.7575211732
  3       24.6545764777        2.5105129549        5.4566545952
  2       24.0602902807        3.4601988073        5.1557880173
  2        6.4891730094       32.7822053243       10.6950860626
  3        7.6159604583       32.6847115884       10.9528553715
  2        8.7427479071       32.5872178525       11.2106246806
  2       23.0527198983        2.6292999066       16.7234996976
  3       22.2641552233        1.9320901545       17.2110079692
  2       21.4755905483        1.2348804024       17.6985162408
  2        8.5758828741       24.1097960012       10.5814145874
  3        9.4916448745       24.1318754324        9.8697317525
  2       10.4074068749       24.1539548634        9.1580489177
  2        0.6334953839       -0.4403409130       14.2059532586
  3        1.4346410014        0.0810360460       14.8631684183
  2        2.2357866189        0.6024130050       15.5203835781
  2       29.7373549496        9.7989405952        6.9902939280
  3       29.5637274317       10.8533992926        7.4414816278
  2       29.3900999139       11.9078579901        7.8926693275
  2       24.1634152769       31.1552087553        6.7335360784
  3       24.4115687278       32.2716569479        6.9273486120
  2       24.6597221788       33.3881051404        7.1211611455
  2       32.5558147732        2.9907942462       25.6878967957
  3       32.0675289511        3.5989405756       26.5465789244
  2       31.5792431289        4.2070869049       27.4052610530
  2       27.6990902433        9.4994273659        3.3591025668
  3       28.6102735804        9.1648065238        2.7239853978
  2       29.5214569174        8.8301856817        2.0888682289
  2       31.2094272197       23.6638921219       18.2338701924
  3       31.7924692783       24.3754710952       17.5272463017
  2       32.3755113368       25.0870500683       16.8206224110
  2        2.3190381242       15.3486650817       11.1713265038
  3        2.2852899479       15.5500910878       10.0294470772
  2        2.2515417716       15.7515170938        8.8875676507
  2       31.3865530170       25.3741596164        5.4468687303
  3       31.6704852433       26.4988726447        5.4486279742
  2       31.9544174696       27.6235856730        5.4503872181
  2        2.6729518874       30.6292462948        7.6960162099
  3        1.8198494890       29.9432007940        8.0796278214
  2        0.9667470905       29.2571552932        8.4632394331
  2       21.4653497380       25.7291264225       29.2892087370
  3       22.1950276365       26.5472396314       28.9099186875
  2       22.9247055351       27.3653528404       28.5306286379
  2       21.8559500767       16.3703500092       22.0282790943
  3       21.2767682445       15.6303066610       21.3482171499
  2       20.6975864124       14.8902633128       20.6681552054
  2       26.0345671718       14.9002639879       11.0614928689
  3       25.4414764904       15.8841093971       10.9005840296
  2       24.8483858090       16.8679548062       10.7396751905
  2        4.9655964083        6.2298660776       24.8665497523
  3        4.5707352730        7.2690180571       24.5351167315
  2        4.1758741376        8.3081700366       24.2036837107
  2        9.4089879390       11.1985187832        5.7092600773
  3        9.6682500795       10.6752666805        4.7069675154
  2        9.9275122199       10.1520145777        3.7046749535
  2        8.1285117766       11.5377430175       35.0272447075
  3        7.6555749890       12.2377334615       34.2322955434
  2        7.1826382015       12.9377239055       33.4373463794
  2       10.4539042441       30.1656234658       10.2324155399
  3       10.6933371549       30.5007175001        9.1479876403
  2       10.9327700656       30.8358115344        8.0635597407
  2        2.4384900289       30.6717736625       24.6683001068
  3        3.2052589803       30.2858222855       25.4484968191
  2        3.9720279316       29.8998709084       26.2286935313
  2       30.3740922986       22.8240910773       11.6370831930
  3       30.5578479467       23.8487315260       11.1252767718
  2       30.7416035949       24.8733719746       10.6134703507
  2       17.0632762908       12.9263624085       23.9598129193
  3       18.0492916595       13.5047564895       23.7627495287
  2       19.0353070281       14.0831505705       23.5656861381
  2        8.3346697457       33.5393398509       23.7564638030
  3        8.8864140156       32.8547229127       24.5130865021
  2        9.4381582854       32.1701059745       25.2697092010
  2        2.2556528214       10.4417889414       31.6661209683
  3        2.1342333336        9.3543894881       31.2808681459
  2        2.0128138459        8.2669900349       30.8956153236
  2       32.0843643588       20.6705985557        2.9197868725
  3       32.5590658607       21.2156859234        3.8270565379
  2       33.0337673626       21.7607732910        4.7343262032
  2       35.2604687983       17.3388791810        1.9146713543
  3       34.6442454288       17.8888871283        2.7291405168
  2       34.0280220592       18.4388950758        3.5436096793
  2        6.2874711032       27.8766187364       23.9366643819
  3        6.7337938998       27.6808237240       24.9893088016
  2        7.1801166965       27.4850287118       26.0419532213
  2        5.2520607648       13.3517350670       27.5608634068
  3        4.2331207497       13.8048611809       27.8802972349
  2        3.2141807347       14.2579872950       28.1997310631
  2       14.4595475749       20.6060633351       27.9945328144
  3       13.5675604922       21.1251368400       28.5241758459
  2       12.6755734095       21.6442103448       29.0538188775
  2        4.1170951414        1.6726195156       34.9967127070
  3        4.3810860773        0.5714180945       34.7451889193
  2        4.6450770132       -0.5297833267       34.4936651316
  2       19.4026626188       20.3166815863       24.3142720112
  3       19.4044736094       21.4372722680       24.0144833448
  2       19.4062846001       22.5578629496       23.7146946784
  2       29.3341595642        3.3641992226       24.7699379183
  3       28.9032027682        3.0322973487       23.7453807524
  2       28.4722459724        2.7003954747       22.7208235866
  2       30.0438770295        7.7495659256       13.3819221182
  3       29.4186730246        8.5320319448       12.7967154187
  2       28.7934690197        9.3144979639       12.2115087194
  2       11.5632699945        3.6426510193       25.0530192221
  3       12.2906263535        3.2655825479       24.2318176056
  2       13.0179827124        2.8885140765       23.4106159891
  2        8.0361697796       17.8759400021        2.7780178557
  3        7.0560851271       18.4472882121        3.0200825099
  2        6.0760004746       19.0186364222        3.2621471641
  2        8.5323605839       23.7207610902       22.5955261063
  3        8.1587146819       23.9955746248       23.6587599757
  2        7.7850687797       24.2703881594       24.7219938451
  2        3.2127475295        1.6501613362       27.9159417466
  3        2.7156128988        1.5201542395       28.9559202627
  2        2.2184782683        1.3901471427       29.9958987788
  2        8.4100687024       30.2577950764       28.0696515864
  3        9.5467043013       30.2799154336       27.8390649321
  2       10.6833399002       30.3020357910       27.6084782777
  2        0.9019818556       31.1645026367       28.0164800636
  3        1.3434935209       31.6331920551       28.9813622732
  2        1.7850051861       32.1018814734       29.9462444829
  2       25.1991142971       28.0206884123        7.8595753546
  3       24.2096412331       28.1636671760        8.4478781073
  2       23.2201681692       28.3066459398        9.0361808601
  2       21.7972269261       34.4999258394       13.9447478107
  3       21.3181196237       34.5244600115       12.8885971267
  2       20.8390123213       34.5489941835       11.8324464428
  2        6.9338895401       10.8486337189       28.2530534660
  3        7.7784984304       11.3309000368       28.8852362094
  2        8.6231073207       11.8131663546       29.5174189529
  2       32.0484813879        9.3125791422       10.9817337040
  3       32.1733684323        9.1894965700        9.8350629114
  2       32.2982554769        9.0664139977        8.6883921188
  2        7.4550478087        0.5964263154       26.5921037317
  3        7.1015361832        0.8117231194       27.6757442702
  2        6.7480245576        1.0270199235       28.7593848088
  2       21.5286757537       22.5485962836       19.8228614353
  3       21.9899585039       21.4987997017       19.9982049865
  2       22.4512412543       20.4490031199       20.1735485379
  2       21.8474093263       17.9771581966       18.0345600547
  3       22.7328560121       17.5271607911       18.6337983223
  2       23.6183026981       17.0771633857       19.2330365899
  2       19.4269492268       13.4493406866       26.8649669753
  3       18.7089310416       12.5383690465       26.8784041136
  2       17.9909128563       11.6273974065       26.8918412519
  2       32.1473835144       34.0082396398       17.6496349111
  3       32.5355225394       33.8144218367       18.7254521617
  2       32.9236615643       33.6206040336       19.8012694122
  2       14.4179404123       16.4101562923       13.9575035044
  3       14.2627690137       15.7057615271       14.8659911772
  2       14.1075976152       15.0013667618       15.7744788501
  2       29.6729232740       11.0499539405       32.1003436415
  3       29.2591394020       10.4649886484       33.0125927929
  2       28.8453555299        9.8800233562       33.9248419442
  2       24.3276044114        9.1702389569       33.5675420786
  3       23.1704164862        9.0962095186       33.5997251207
  2       22.0132285611        9.0221800805       33.6319081628
  2       25.8659256421       16.0373458993       31.3263565498
  3       26.4674150375       15.4137051321       30.5550701563
  2       27.0689044328       14.7900643650       29.7837837629
  2        3.3617604895       10.7364925213       19.9001401795
  3        3.4273412560        9.6518148760       20.3060632866
  2        3.4929220225        8.5671372307       20.7119863938
  2       19.4581411935        0.4463758670        7.0899950905
  3       18.9296237837        1.3922370310        6.6757294679
  2       18.4011063741        2.3380981949        6.2614638452
  2        2.7223326293       24.4353354949       31.1146083631
  3        3.3014154295       24.3915379651       32.1187721379
  2        3.8804982297       24.3477404353       33.1229359129
  2       23.2569477008       10.2618560579       19.3835282460
  3       23.0771876584        9.8358766181       18.3196542666
  2       22.8974276160        9.4098971782       17.2557802873
  2       27.8557337442       33.6708147613        1.1129480025
  3       27.4205760050       32.7401027788        0.5744195004
  2       26.9854182659       31.8093907963        0.0358909983
  2       21.0758215357        9.5482274085        1.8833895910
  3       21.4857803807       10.6319542742        1.8279835830
  2       21.8957392256       11.7156811401        1.7725775751
  2        3.7014882053        3.8297674331       25.5408138808
  3        4.5948163362        3.5343774890       26.2192751041
  2        5.4881444671        3.2389875450       26.8977363274
  2       13.2279404894       31.0272725140        5.7290842718
  3       14.2296960657       31.2985262112        6.2472610726
  2       15.2314516421       31.5697799084        6.7654378734
  2       15.2134508452       17.4117396791        2.3666042949
  3       14.9737825718       16.7336843877        3.2767691923
  2       14.7341142985       16.0556290962        4.1869340897
  2       31.8015450210       29.8142146510        3.7958683076
  3       31.9120365739       29.6109860222        2.6591670534
  2       32.0225281268       29.4077573933        1.5224657993
  2       23.4874006273        2.6448537039       25.7304391833
  3       23.4149247285        2.2430594245       26.8162147591
  2       23.3424488296        1.8412651451       27.9019903350
  2       13.0594804933        6.8910110775        2.5045132752
  3       12.7226829174        5.9141162740        1.9774042393
  2       12.3858853415        4.9372214706        1.4502952034
  2       25.4391142093        2.9035795183       12.0056280581
  3       24.3696197530        2.5825938733       12.3198729046
  2       23.3001252966        2.2616082284       12.6341177510
  2        3.0862962361       10.9000299345       26.5918839307
  3        3.3003869354       10.7439850610       27.7212267351
  2        3.5144776347       10.5879401873       28.8505695395
  2       17.8010172232       18.5017807331        5.2926046033
  3       18.8543764911       18.0993629921        5.0204020787
  2       19.9077357591       17.6969452511        4.7481995542
  2       20.3618440420       12.2892968892       10.5691694077
  3       21.5040682933       12.4468350171       10.6960768464
  2       22.6462925446       12.6043731450       10.8229842853
  2        4.3195689193       34.7205272966        4.6973594302
  3        3.3385554724       34.5055377969        5.2778696644
  2        2.3575420254       34.2905482973        5.8583798986
  2        7.7460258131       18.7671934647       33.9073073085
  3        7.6907471384       17.6103013657       33.9716885120
  2        7.6354684635       16.4534092666       34.0360697155
  2       32.8692938566       21.5643372335       15.3715673929
  3       32.8233706172       22.3482054078       14.5177279809
  2       32.7774473778       23.1320735820       13.6638885689
  2       24.6958947315       30.0435849970       28.7671766375
  3       24.5729275590       29.8980800434       27.6229269344
  2       24.4499603866       29.7525750898       26.4786772312
  2       15.4893932903       22.6472198771        9.6824617447
  3       14.3385790511       22.6313540867        9.5376347323
  2       13.1877648118       22.6154882964        9.3928077200
  2       24.8373292584        6.3859678639       21.8852518174
  3       25.0102875267        5.2419303881       21.9680992170
  2       25.1832457950        4.0978929124       22.0509466165
  2       23.1279644893        9.5704093388        8.2729604826
  3       22.7370949263       10.6154300797        7.9555449256
  2       22.3462253633       11.6604508205        7.6381293685
  2       21.7321250329       31.1781615801       25.0624757138
  3       22.0443445567       31.8850380393       25.9276026643
  2       22.3565640806       32.5919144983       26.7927296149
  2       30.6981633812        6.9279414002       24.1741996912
  3       29.9550244555        7.7942644489       24.3811511648
  2       29.2118855298        8.6605874977       24.5881026383
  2        1.0331839095       20.8040186181       10.9673850535
  3        1.2509406455       20.0040717254       10.1560485186
  2        1.4686973815       19.2041248327        9.3447119837
  2       16.5055848268       34.8996265594        5.3593965920
  3       15.4745025388       34.7910856570        5.8796736219
  2       14.4434202509       34.6825447547        6.3999506520
  2        8.4818967374        1.7018318121       16.4005498215
  3        8.4188654133        2.7372843546       16.9196500858
  2        8.3558340890        3.7727368972       17.4387503501
  2        8.5948647355       14.1374451703        1.6855846600
  3        8.3535824640       13.6832858519        2.7253549131
  2        8.1123001923       13.2291265336        3.7651251660
  2       32.5111062470       13.9576314684        9.3459189654
  3       32.4765284737       13.9722938050        8.1865271449
  2       32.4419507004       13.9869561414        7.0271353244
  2        9.7738156573       13.8057036221       20.3707467075
  3       10.0812296525       13.2765924504       19.3852833630
  2       10.3886436477       12.7474812786       18.3998200184
  2        5.7440561478       32.4633034605        2.3800142231
  3        5.9427555558       33.6007738394        2.2692004951
  2        6.1414549638       34.7382442183        2.1583867671
  2       12.7180435668       33.7221750660        0.9198511467
  3       11.8791021330       33.7705827330        0.1202049947
  2       11.0401606993       33.8189904000       -0.6794411575
  2       23.5880915589       31.2564263469        1.0710641917
  3       22.4710804449       31.0422020724        0.8430419748
  2       21.3540693308       30.8279777981        0.6150197578
  2       21.2139188585       30.0245226883       32.5913261974
  3       21.1965994310       31.1794539223       32.4843968641
